(86, 71, 2)
(94, 80, 3)
(99, 74, 4)
(76, 78, 5)
(92, 57, 5)
(80, 75, 5)
(64, 64, 5)
(86, 63, 5)
(85, 68, 5)
(97, 78, 5)
(99, 82, 5)
(75, 56, 5)
(65, 56, 5)
(99, 51, 5)
(69, 73, 5)
(72, 64, 5)
(72, 78, 5)
(88, 53, 5)
(84, 74, 5)
(95, 88, 5)
(89, 71, 5)
(99, 65, 5)
(90, 48, 6)
(68, 42, 6)
(97, 78, 6)
(84, 55, 6)
(84, 48, 6)
(82, 72, 6)
(65, 67, 6)
(99, 83, 6)
(90, 81, 6)
(99, 45, 6)
(67, 78, 6)
(68, 86, 6)
(64, 50, 6)
(92, 59, 6)
(63, 55, 6)
(74, 64, 6)
(65, 53, 6)
(72, 49, 6)
(72, 64, 6)
(97, 89, 6)
(80, 80, 6)
(82, 63, 6)
(90, 60, 6)
(78, 94, 7)
(63, 68, 7)
(82, 39, 7)
(77, 85, 7)
(78, 61, 7)
(71, 90, 7)
(93, 55, 7)
(87, 74, 7)
(99, 44, 7)
(68, 88, 7)
(90, 75, 7)
(99, 53, 7)
(88, 40, 7)
(75, 49, 7)
(83, 60, 7)
(61, 58, 7)
(84, 77, 7)
(99, 91, 7)
(61, 49, 7)
(64, 71, 7)
(85, 61, 7)
(61, 52, 7)
(87, 52, 7)
(82, 65, 7)
(87, 84, 7)
(86, 85, 7)
(82, 76, 7)
(75, 74, 7)
(77, 81, 7)
(87, 39, 7)
(73, 79, 7)
(97, 71, 7)
(90, 66, 7)
(84, 68, 7)
(92, 99, 7)
(96, 40, 7)
(75, 98, 7)
(84, 46, 7)
(58, 71, 7)
(81, 88, 7)
(65, 94, 8)
(69, 82, 8)
(80, 59, 8)
(50, 47, 8)
(96, 46, 8)
(59, 29, 8)
(67, 42, 8)
(76, 34, 8)
(80, 28, 8)
(88, 52, 8)
(85, 88, 8)
(56, 68, 8)
(66, 58, 8)
(43, 58, 8)
(51, 63, 8)
(81, 27, 8)
(80, 90, 8)
(63, 89, 8)
(62, 52, 8)
(48, 82, 8)
(83, 84, 8)
(71, 54, 8)
(96, 65, 8)
(73, 63, 8)
(44, 95, 8)
(52, 53, 8)
(83, 46, 8)
(63, 35, 8)
(99, 99, 8)
(57, 34, 8)
(50, 72, 8)
(44, 73, 8)
(76, 74, 8)
(44, 70, 8)
(69, 45, 8)
(99, 73, 8)
(75, 55, 8)
(68, 27, 8)
(85, 99, 8)
(91, 99, 8)
(82, 53, 8)
(99, 99, 8)
(99, 40, 8)
(45, 84, 8)
(61, 75, 8)
(47, 83, 8)
(45, 62, 8)
(49, 55, 8)
(48, 78, 8)
(64, 40, 8)
(92, 30, 8)
(57, 93, 8)
(72, 71, 8)
(56, 80, 8)
(89, 60, 8)
(72, 31, 8)
(88, 34, 8)
(71, 74, 8)
(85, 31, 8)
(72, 94, 8)
(65, 40, 8)
(89, 59, 8)
(76, 67, 8)
(62, 50, 8)
(91, 34, 8)
(88, 48, 8)
(48, 89, 9)
(71, 76, 9)
(59, 67, 9)
(99, 62, 9)
(66, 64, 9)
(46, 84, 9)
(62, 88, 9)
(55, 38, 9)
(70, 77, 9)
(35, 56, 9)
(94, 86, 9)
(36, 99, 9)
(77, 34, 9)
(74, 32, 9)
(66, 40, 9)
(92, 92, 9)
(51, 81, 9)
(50, 69, 9)
(42, 62, 9)
(88, 81, 9)
(49, 43, 9)
(70, 97, 9)
(55, 52, 9)
(84, 87, 9)
(56, 41, 9)
(51, 99, 9)
(71, 68, 9)
(73, 24, 9)
(68, 43, 9)
(60, 90, 9)
(94, 49, 9)
(94, 65, 9)
(81, 19, 9)
(66, 37, 9)
(63, 12, 9)
(60, 69, 9)
(41, 81, 9)
(77, 66, 9)
(40, 62, 9)
(75, 66, 9)
(75, 53, 9)
(68, 98, 9)
(86, 35, 9)
(54, 79, 9)
(45, 24, 9)
(51, 60, 9)
(57, 32, 9)
(72, 70, 9)
(95, 58, 9)
(50, 76, 9)
(92, 41, 9)
(61, 49, 9)
(79, 52, 9)
(88, 49, 9)
(61, 95, 9)
(92, 40, 9)
(77, 56, 9)
(86, 41, 9)
(80, 99, 9)
(69, 28, 9)
(61, 84, 9)
(81, 23, 9)
(59, 25, 9)
(56, 22, 9)
(84, 51, 9)
(44, 85, 9)
(89, 52, 9)
(33, 52, 9)
(51, 77, 9)
(65, 27, 9)
(73, 93, 9)
(79, 33, 9)
(37, 83, 9)
(42, 99, 9)
(99, 39, 9)
(53, 84, 9)
(90, 85, 9)
(65, 22, 10)
(60, 35, 10)
(90, 14, 10)
(94, 22, 10)
(68, 39, 10)
(67, 98, 10)
(55, 32, 10)
(53, 29, 10)
(45, 89, 10)
(69, 73, 10)
(81, 33, 10)
(44, 39, 10)
(95, 19, 10)
(80, 56, 10)
(56, 76, 10)
(62, 53, 10)
(42, 67, 10)
(99, 99, 10)
(86, 48, 10)
(99, 45, 10)
(99, 63, 10)
(46, 57, 10)
(74, 62, 10)
(39, 80, 10)
(51, 42, 10)
(64, 72, 10)
(78, 14, 10)
(74, 37, 10)
(45, 40, 10)
(51, 37, 10)
(53, 54, 10)
(45, 35, 10)
(55, 20, 10)
(25, 87, 10)
(74, 78, 10)
(56, 84, 10)
(28, 91, 10)
(81, 41, 10)
(66, 26, 10)
(96, 9, 10)
(52, 36, 10)
(88, 60, 10)
(38, 95, 10)
(31, 93, 10)
(69, 22, 10)
(57, 96, 10)
(54, 70, 10)
(99, 73, 10)
(64, 47, 10)
(25, 90, 10)
(71, 99, 10)
(37, 85, 10)
(96, 47, 10)
(76, 11, 10)
(93, 40, 10)
(64, 78, 10)
(80, 86, 10)
(57, 22, 10)
(29, 99, 10)
(69, 32, 10)
(73, 38, 10)
(50, 58, 10)
(89, 86, 10)
(93, 39, 10)
(75, 42, 10)
(99, 29, 10)
(38, 96, 10)
(84, 87, 10)
(43, 84, 10)
(30, 65, 10)
(75, 91, 10)
(46, 50, 10)
(51, 80, 10)
(38, 84, 10)
(44, 29, 10)
(29, 99, 10)
(27, 90, 10)
(80, 64, 10)
(49, 99, 10)
(72, 25, 10)
(38, 76, 10)
(92, 40, 10)
(34, 87, 10)
(71, 58, 10)
(29, 67, 10)
(96, 63, 10)
(91, 10, 10)
(36, 90, 10)
(59, 24, 10)
(77, 75, 10)
(45, 33, 10)
(98, 69, 10)
(34, 80, 10)
(49, 97, 10)
(34, 88, 10)
(77, 36, 10)
(32, 74, 11)
(53, 63, 11)
(39, 74, 11)
(46, 38, 11)
(92, 45, 11)
(30, 58, 11)
(58, 79, 11)
(58, 97, 11)
(66, 39, 11)
(95, 53, 11)
(81, 14, 11)
(71, 9, 11)
(60, 99, 11)
(95, 99, 11)
(40, 94, 11)
(50, 76, 11)
(32, 85, 11)
(67, 59, 11)
(22, 70, 11)
(80, 25, 11)
(97, 68, 11)
(31, 62, 11)
(95, 61, 11)
(42, 99, 11)
(38, 98, 11)
(34, 48, 11)
(63, 47, 11)
(68, 82, 11)
(73, 62, 11)
(64, 33, 11)
(85, 35, 11)
(38, 86, 11)
(55, 91, 11)
(41, 10, 11)
(48, 10, 11)
(49, 32, 11)
(61, 40, 11)
(88, 57, 11)
(23, 91, 11)
(46, 82, 11)
(79, 94, 11)
(91, 63, 11)
(49, 81, 11)
(99, 99, 11)
(82, 16, 11)
(40, 31, 11)
(47, 67, 11)
(34, 69, 11)
(95, 81, 11)
(59, 99, 11)
(93, 92, 11)
(53, 99, 11)
(99, 32, 11)
(55, 32, 11)
(79, 1, 11)
(28, 90, 11)
(76, 66, 11)
(68, 12, 11)
(50, 60, 11)
(77, 55, 11)
(67, 26, 11)
(68, 67, 11)
(76, 1, 11)
(38, 96, 11)
(82, 3, 11)
(34, 82, 11)
(55, 9, 11)
